"Date","Price","Open","High","Low","Change %"
"04/15/2025","1.650","1.703","1.703","1.652","0.00%"
"04/14/2025","1.650","1.703","1.703","1.652","0.00%"
"04/11/2025","1.650","1.670","1.680","1.635","0.61%"
"04/10/2025","1.640","1.660","1.680","1.640","-0.61%"
"04/09/2025","1.650","1.685","1.695","1.641","-0.60%"
"04/08/2025","1.660","1.690","1.690","1.650","-0.60%"
"04/07/2025","1.670","1.678","1.678","1.627","-6.70%"
"04/03/2025","1.790","1.839","1.839","1.785","-3.24%"
"04/02/2025","1.850","1.910","1.910","1.850","-1.07%"
"04/01/2025","1.870","1.908","1.908","1.858","0.00%"
"03/31/2025","1.870","1.928","1.928","1.868","0.00%"
"03/28/2025","1.870","1.918","1.918","1.865","0.00%"
"03/27/2025","1.870","1.883","1.895","1.870","0.00%"
"03/26/2025","1.870","1.940","1.940","1.859","-1.06%"
"03/25/2025","1.890","1.919","1.920","1.865","0.00%"
"03/24/2025","1.890","1.945","1.945","1.906","-0.53%"
"03/21/2025","1.900","1.950","1.950","1.891","-1.04%"
"03/20/2025","1.920","1.983","1.983","1.923","-1.03%"
"03/19/2025","1.940","2.003","2.003","1.946","0.52%"
"03/18/2025","1.930","2.007","2.007","1.946","3.21%"
"03/17/2025","1.870","1.975","1.975","1.889","-1.06%"
"03/14/2025","1.890","1.960","1.960","1.895","-1.05%"
"03/13/2025","1.910","1.940","1.940","1.881","0.00%"
"03/12/2025","1.910","1.945","1.948","1.913","0.53%"
"03/11/2025","1.900","1.910","1.910","1.878","3.83%"
"03/10/2025","1.830","1.890","1.890","1.840","4.57%"
"03/07/2025","1.750","1.834","1.848","1.755","-0.57%"
"03/06/2025","1.760","1.800","1.800","1.758","0.57%"
"03/05/2025","1.750","1.799","1.799","1.749","0.00%"
"03/04/2025","1.750","1.800","1.800","1.741","-1.13%"
"03/03/2025","1.770","1.810","1.810","1.777","0.00%"
"02/28/2025","1.770","1.835","1.835","1.771","0.00%"
"02/27/2025","1.770","1.813","1.813","1.761","0.57%"
